tns_name,internam_names,radeg,decdeg,redshift,discovery_date,discovery_mag,type
SN2022aefe,"Gaia23aam,ZTF22acaunur,ATLAS23bck",228.008875,21.296239,0.016055,2022-12-31 13:46:33.600,18.73,SN II
SN2022aegi,"ZTF22acaipkl,Gaia23aly",238.607208,4.026319,0.035,2022-12-22 13:33:35.000,19.35,SN II
SN2022aek,"PS22sd,ATLAS22cqz,ZTF22aaafjir,ZTF22aaayceh",192.698106587,77.3139261926,0.03468,2022-01-21 13:20:38.400,19.52,SN II
SN2022aey,"ZTF22aaaehzu,ATLAS22dav,Gaia22aou,PS22ceu",241.034125,29.462161,0.015,2022-01-21 11:25:26.400,18.4,SN II
SN2022akd,"ATLAS22csy,ZTF22aaabmmc",161.7730252,47.3615426,0.037,2022-01-25 12:14:24.000,18.939,SN II
SN2022alw,"ATLAS22ctr,PS22aoq,ZTF22aaabpqn",116.170653056,44.1464255699,0.038287,2022-01-26 10:40:48.000,18.809,SN II
SN2022ame,",ATLAS22dap,ZTF22abeddzm",48.3896021,-25.7225203,0.0056,2022-01-27 12:08:18.000,17.3,SN II
SN2022and,"ATLAS22cwl,PS22agq,ZTF22aaaifcx",150.02755416,3.75714275086,0.043,2022-01-27 10:49:26.400,18.965,SN II
SN2022ano,"ATLAS22cyq,PS22ajz,ZTF22aaaiyzf",156.497848182,18.7289633065,0.039,2022-01-27 10:56:38.400,18.71,SN II
SN2022anz,"ATLAS22daj,ZTF22aaagxsz,Gaia22atw",30.454333,45.690539,0.023,2022-01-26 07:04:48.000,18.333,SN II
SN2022aqm,"Gaia22aiv,ZTF22aaaifln",68.309125,76.566431,0.0263,2022-01-26 23:19:40.800,18.69,SN II
SN2022ars,"ATLAS22dna,ZTF22aaamnjm",81.7678432,43.521766799999995,0.026,2022-01-29 07:40:48.000,18.947,SN II
SN2022aya,"PS22agu,ATLAS22efz,ZTF22aaavods",105.884377426,18.212027761,0.0268,2022-01-29 06:28:48.000,19.87,SN II
SN2022bcf,"ATLAS22dxh,PS22aqd,ZTF22aaagtej,Gaia22aqw",70.419,-8.706569,0.016,2022-01-31 05:48:28.800,18.681,SN II
SN2022bid,"ATLAS22eki,ZTF22aaafjoc,PS22ccd,Gaia22bdi",173.884,49.091831,0.039,2022-02-03 12:11:31.200,18.54,SN II
