,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
27,757,,---,---,---,075741.42+443530.3,Q,119.422613022,44.5917774944,5398.70942953,0.838,,,,,,1,0
28,778,,---,---,07332001+0136364,---,G,113.333389,1.610123,898.664181077,0.184333,18.405,-21.363,15.386,14.566,13.993,1,0
29,849,,---,---,06541706-2648375,---,G,103.571114,-26.810431,180.707002125,0.034063,14.816,-21.4689,12.639,11.852,11.456,3,1
30,849,,---,76235,---,---,G,103.571,-26.81046,176.931929111,0.0395333597667,16.49,-19.749,,,,2,1
31,894,,---,---,06593133+0108518,---,G,104.880569,1.147724,156.85794389,0.035486,16.079,-19.8985,14.531,13.742,13.342,1,1
32,897,,---,---,06473325+0510400,---,G,101.888542,5.177795,64.6289511989,0.014537,16.074,-17.9781,14.551,13.614,13.26,1,1
33,950,,---,---,07053172+5101550,---,G,106.382202,51.031948,,,,,,,13.504,0,0
34,969,,---,2385018,08023579+5055210,---,G,120.649139,50.922501,175.935407593,0.039137,16.494,-19.7328,13.706,13.021,12.696,1,1
35,972,,---,2278739,07555357+4617438,---,G,118.973228,46.295502,336.928297625,0.074366,17.531,-20.1067,14.747,14.126,13.537,1,0
36,973,,---,2380785,08133114+5043532,---,G,123.379761,50.731457,412.566650937,0.090052,16.899,-21.1785,14.471,13.748,13.129,1,0
37,975,,---,2385018,08023579+5055210,---,G,120.649139,50.922501,175.935407593,0.039137,16.494,-19.7328,13.706,13.021,12.696,1,1
38,976,,---,SDSSJ074653.21+463000.9,---,---,G,116.722,46.50028,2654.61,0.469644444822,,,,,,2,0
39,997,,---,2697488,07275331+6716227,---,G,111.972137,67.27298,532.172183332,0.114234,18.092,-20.5383,15.133,14.595,13.909,1,0
0,20,,---,---,07424331-2540103,---,G,115.680481,-25.66954,111.060850673,0.025627,14.858,-20.3698,13.586,12.815,12.389,1,1
1,154,,---,2007051,---,---,G,132.776,32.6618,303.389,0.0673052436526,18.15,-19.26,,,,2,0
2,164,,---,SDSSJ084812.65+131547.8,---,---,G,132.053,13.26339,669.885,0.141228220614,18.22,-20.91,,,,2,0
3,164,,---,SDSSJ084817.09+131601.2,---,---,G,132.071,13.26699,701.455,0.14729932365,18.37,-20.86,,,,2,0
4,191,,---,78297,07453371-0332521,---,G,116.390495,-3.547809,209.795708567,0.047359,15.749,-20.86,13.277,12.503,12.104,1,1
5,216,,---,---,---,083057.19+461111.2,Q,127.738328685,46.1864571821,9905.14713662,1.36262595654,,,,,,1,0
6,217,,---,---,---,085509.72+441718.1,Q,133.79051804,44.2883765423,9097.43561744,1.27291953564,,,,,,1,0
7,219,,---,---,---,083321.60+081238.6,Q,128.340029185,8.21072697085,21148.1283737,2.5150372982,,,,,,1,0
8,220,,---,SDSSJ083211.78+082929.4,---,---,G,128.049,8.49153,2060.63,0.379836429918,,,,,,2,0
9,222,,---,1432169,08210943+1329043,---,G,125.289322,13.484531,189.092904134,0.0428435914218,17.89,-18.4934,15.207,14.374,13.971,2,1
10,223,,---,SDSSJ084309.09+084142.4,---,---,G,130.788,8.69512,2089.3,0.384295992148,,,,,,2,0
11,234,,---,SDSSJ085018.95+233415.1,---,---,G,132.579,23.57079,,,18.32,,,,,0,0
