 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 589 1 1 ZTF_g 480460240115 0 2.2573 76.7113 8.29634 26.0054 4.1213e-06 0.0200768 -0.0211349 5.19721e-06 1806 30. 0.07127 0.073996 20.2034 26.0054 1 2458234.9602431 589120101 2.85177771768725 29.8932744856558 0.106119936763228 1.04975662106755 11.7773933806796 49.0357270149691 0.241797471445468 1.10094091137704 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 10 589 1 1 ZTF_g 480480910115 0 2.1603 69.1385 6.2227 25.8942 3.3611e-06 0.0180357 -0.0194542 4.24516e-06 1797 30. 0.072651 0.075224 20.4746 25.8942 1 2458234.9809144 589120101 -45.7641765872106 21.3874235844188 -2.38024676160551 1.1055150403651 -43.4085116651685 35.3449850769287 -1.23640936312811 1.10417405438494 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 11 589 1 1 ZTF_g 483414970115 0 2.9106 96.0676 16.673 26.2285 9.6598e-06 0.0307407 -0.0340064 1.219e-05 1809 30. 0.083991 0.085529 19.2011 26.2285 1 2458237.9149769 589120101 64.7476575417366 91.3135174833722 0.788758022614088 1.0028604022019 123.76681232949 134.526007583329 0.926217845677617 1.12229323220289 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 12 589 1 1 ZTF_g 483480460115 0 2.5421 99.2512 15.2126 26.2497 6.5873e-06 0.0252324 -0.0153097 8.32817e-06 1790 30. 0.072048 0.073242 19.4995 26.2497 1 2458237.980463 589120101 -150.884560045393 71.2256863992887 -2.35647566249268 1.00777093704019 -248.001443443087 110.989212282447 -2.24951364460583 1.12557193991209 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 13 589 1 1 ZTF_g 490432740115 0 2.1227 89.2752 9.73635 26.1799 4.1773e-06 0.0200105 -0.0443298 5.26432e-06 1799 30. 0.062698 0.065381 20.2123 26.1799 1 2458244.9327431 589120101 -36.5361757646173 37.3935951846354 -1.08687767147708 0.944872459694181 -55.1582611196295 63.4303926736894 -0.875443976320033 1.08959513271396 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 14 589 1 1 ZTF_g 493380320115 0 1.9543 94.932 6.15589 26.2584 2.365e-06 0.0151408 -0.0386405 2.9794e-06 1804 30. 0.064722 0.070304 21.0967 26.2584 1 2458247.8803241 589120101 3.80300149180772 16.9315857326363 0.249852479039833 0.96403726533671 4.7224866478437 29.542213649362 0.160932180761865 1.08322489512309 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 15 589 1 1 ZTF_r 493434090115 0 2.6001 163.155 10.2384 26.2756 3.5442e-06 0.0184623 0.104202 4.47223e-06 1797 30. 0.124953 0.12562 20.2436 26.2756 1 2458247.9340972 589120201 187.166331120877 33.354244095543 6.24211011529971 1.18234451523947 139.857475149945 53.7705647473165 2.61852230776122 1.09998188667308 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 16 589 1 1 ZTF_r 495488980115 8 6.3615 143.74 12.6668 26.1893 1.67143e-05 0.0385267 0.101047 2.06743e-05 1641 30. 0.227145 0.219087 19.2146 26.1893 1 2458249.9889815 589120201 -51.8057868081055 67.4900559111648 -0.853873011913021 0.995604629493103 -36.0666698902718 80.2373376412353 -0.452527240490283 1.35800948431115 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 17 589 1 1 ZTF_r 495490350115 8 11.7529 143.396 12.6044 26.199 1.37908e-05 0.031868 0.0970976 1.71721e-05 1314 30. 0.222185 0.227663 19.2646 26.199 1 2458249.9903588 589120201 -111.176279723438 68.8829643811045 -1.7953747358044 0.872897162418056 -37.9024910849233 85.69548948791 -0.445271586300699 1.35740673329473 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 18 589 1 1 ZTF_r 498415410115 0 1.8814 161.849 11.6463 26.2734 2.0018e-06 0.0139571 0.0985832 2.52159e-06 1811 30. 0.077529 0.081065 20.8288 26.2734 1 2458252.9154167 589120201 -27.2621439526266 19.094656060231 -1.58819186683626 1.13551484020294 -23.640069189965 34.4932715517747 -0.689968951781386 1.07207159518099 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 19 589 1 1 ZTF_g 498458710115 0 2.5288 97.2243 6.45237 26.3057 3.05e-06 0.0171832 -0.0494837 3.84784e-06 1801 30. 0.090295 0.081657 20.6766 26.3057 1 2458252.9587153 589120101 -4.47475046615556 24.7619619564294 -0.201019677092848 0.992378611168412 20.5963931095328 40.7285575085222 0.509104968861184 1.08650479223764 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 20 589 1 1 ZTF_g 501400040115 0 2.9528 94.8437 9.13484 26.2935 3.786e-06 0.0193396 -0.022978 4.81522e-06 1822 30. 0.113181 0.108801 20.5888 26.2935 1 2458255.9000463 589120101 5.65599707123356 26.0692494774629 0.241343412283593 1.0469482707526 44.832033664172 40.126155410397 1.12480200329914 1.12286726438812 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 21 589 1 1 ZTF_r 501441580115 0 2.2494 157.788 15.5572 26.2549 1.8727e-06 0.0135294 0.0896293 2.37484e-06 1829 30. 0.094161 0.093795 20.5019 26.2549 1 2458255.9415856 589120201 20.8950971062282 28.6604462747373 0.810991395298411 1.0538725886144 -8.30945367150801 49.533958399708 -0.16888249173558 1.07527642579457 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
