JD,Band,Flux,Fluxerr,Mag,Magerr
2453639.56891,I,0.000869,0.000006,16.204402,0.007496
2453641.52105,I,0.000846,0.000009,16.233526,0.011550
2453643.59741,I,0.000910,0.000011,16.154348,0.013124
2453648.51328,I,0.000983,0.000007,16.070568,0.007732
2453650.55067,I,0.001092,0.000008,15.956395,0.007954
2453654.52252,I,0.000826,0.000011,16.259501,0.014459
2453655.49601,I,0.000953,0.000008,16.104219,0.009114
2453657.50865,I,0.000944,0.000008,16.114522,0.009201
2453660.50281,I,0.001087,0.000009,15.961378,0.008990
2453662.50804,I,0.000881,0.000008,16.189512,0.009859
2453666.53554,I,0.000875,0.000007,16.196931,0.008686
2453775.88427,I,0.000947,0.000009,16.111077,0.010319
2453781.86972,I,0.000851,0.000010,16.227128,0.012758
2453784.85359,I,0.000967,0.000007,16.088385,0.007860
2453787.84422,I,0.001059,0.000008,15.989712,0.008202
2453790.87497,I,0.001019,0.000008,16.031516,0.008524
2453792.87156,I,0.001003,0.000006,16.048699,0.006495
2453794.82854,I,0.000933,0.000008,16.127247,0.009310
2453796.81673,I,0.000909,0.000008,16.155542,0.009555
2453797.90797,I,0.001148,0.000008,15.902097,0.007566
2453799.86289,I,0.000954,0.000008,16.103081,0.009105
2453800.88921,I,0.001150,0.000007,15.900207,0.006609
2453801.87146,I,0.000910,0.000008,16.154348,0.009545
2453802.83698,I,0.001021,0.000008,16.029387,0.008507
2453803.87229,I,0.001021,0.000007,16.029387,0.007444
2453805.7883,I,0.001010,0.000008,16.041148,0.008600
2453806.80842,I,0.000911,0.000008,16.153156,0.009534
2453807.82211,I,0.001088,0.000008,15.960379,0.007983
2453808.78184,I,0.000993,0.000007,16.059578,0.007654
2453809.78465,I,0.000885,0.000007,16.184593,0.008588
2453810.82921,I,0.001142,0.000007,15.907786,0.006655
2453811.82522,I,0.000882,0.000007,16.188280,0.008617
2453812.81699,I,0.000978,0.000008,16.076104,0.008881
2453813.79563,I,0.001096,0.000007,15.952425,0.006934
2453814.80985,I,0.000895,0.000007,16.172394,0.008492
2453817.84404,I,0.001101,0.000008,15.947483,0.007889
2453818.872,I,0.000940,0.000007,16.119132,0.008085
2453819.78762,I,0.000861,0.000006,16.214444,0.007566
2453820.75795,I,0.001113,0.000007,15.935714,0.006829
2453821.75846,I,0.000917,0.000007,16.146028,0.008288
2453822.80053,I,0.000961,0.000007,16.095143,0.007909
2453823.75657,I,0.001052,0.000007,15.996912,0.007224
2453824.77406,I,0.000829,0.000007,16.255565,0.009168
2453825.7915,I,0.001010,0.000008,16.041148,0.008600
2453826.76764,I,0.000908,0.000007,16.156737,0.008370
2453827.78735,I,0.000988,0.000007,16.065059,0.007692
2453828.76089,I,0.001037,0.000009,16.012505,0.009423
2453829.79623,I,0.000840,0.000007,16.241253,0.009048
2453830.71792,I,0.001132,0.000007,15.917335,0.006714
2453831.71797,I,0.000966,0.000006,16.089509,0.006744
2453832.73951,I,0.000923,0.000007,16.138947,0.008234
2453833.74723,I,0.001151,0.000007,15.899263,0.006603
2453834.72833,I,0.000881,0.000007,16.189512,0.008627
2453835.72193,I,0.001066,0.000008,15.982559,0.008148
2453835.90798,I,0.001077,0.000007,15.971412,0.007057
2453836.75032,I,0.001054,0.000011,15.994850,0.011331
2453836.91802,I,0.000886,0.000007,16.183367,0.008578
2453837.71686,I,0.000971,0.000008,16.083903,0.008945
2453837.88909,I,0.001177,0.000007,15.875010,0.006457
2453838.72432,I,0.001030,0.000010,16.019858,0.010541
2453839.72566,I,0.000955,0.000010,16.101943,0.011369
2453839.91289,I,0.001028,0.000009,16.021969,0.009505
2453840.74417,I,0.001220,0.000008,15.836052,0.007120
2453840.89646,I,0.001206,0.000008,15.848583,0.007202
2453841.70711,I,0.001046,0.000008,16.003122,0.008304
2453841.92704,I,0.000993,0.000007,16.059578,0.007654
2453842.82963,I,0.000988,0.000006,16.065059,0.006594
2453845.70533,I,0.001074,0.000012,15.974441,0.012131
2453845.89004,I,0.001080,0.000013,15.968392,0.013069
2453846.68579,I,0.001122,0.000009,15.926969,0.008709
2453847.78259,I,0.001073,0.000009,15.975452,0.009107
2453848.73749,I,0.001069,0.000009,15.979507,0.009141
2453849.73397,I,0.000983,0.000007,16.070568,0.007732
2453850.67989,I,0.001128,0.000007,15.921179,0.006738
2453850.85244,I,0.001218,0.000008,15.837833,0.007131
2453850.9239,I,0.001154,0.000009,15.896437,0.008468
2453851.69564,I,0.000977,0.000007,16.077215,0.007779
2453851.85892,I,0.000907,0.000008,16.157933,0.009577
2453852.68436,I,0.000904,0.000007,16.161530,0.008407
2453852.91288,I,0.001009,0.000007,16.042224,0.007532
2453853.67267,I,0.001109,0.000007,15.939623,0.006853
2453853.84033,I,0.001017,0.000006,16.033649,0.006406
2453853.91182,I,0.000950,0.000006,16.107643,0.006857
2453854.68928,I,0.000872,0.000007,16.200660,0.008716
2453856.66266,I,0.001069,0.000007,15.979507,0.007110
2453856.82901,I,0.000930,0.000007,16.130744,0.008172
2453857.90015,I,0.001106,0.000007,15.942564,0.006872
